com.samsung.shealth.tracker.pedometer_day_summary,6266001,6
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,497,2b0d8fae-ef3a-4a33-b89b-a03e37a94316.binning_data.json,297879,6000,,0,2021-01-17 04:41:01.773,com.sec.android.app.shealth,2021-01-17 04:41:01.773,,1.3398007,399.09906,26.962082,497,rCXGezyjDZ,com.sec.android.app.shealth,0,2b0d8fae-ef3a-4a33-b89b-a03e37a94316.achievement.json,2b0d8fae-ef3a-4a33-b89b-a03e37a94316,1610582400000,
,1619,3ef1f177-58db-4875-a7c7-ce669fe3d989.binning_data.json,873924,6000,,93,2021-01-17 04:41:01.798,com.sec.android.app.shealth,2021-01-17 04:41:01.798,,1.5077959,1317.7,90.06534,1526,rCXGezyjDZ,com.sec.android.app.shealth,0,3ef1f177-58db-4875-a7c7-ce669fe3d989.achievement.json,3ef1f177-58db-4875-a7c7-ce669fe3d989,1610755200000,
,4094,b6cbd62d-c5de-42f6-8ce9-868eff955f23.binning_data.json,2400599,6000,,31,2021-01-18 21:50:42.577,com.sec.android.app.shealth,2021-01-17 09:27:56.712,b6cbd62d-c5de-42f6-8ce9-868eff955f23.source_info.json,1.3684958,3285.2102,221.10179,4063,VfS0qUERdZ,com.sec.android.app.shealth,0,b6cbd62d-c5de-42f6-8ce9-868eff955f23.achievement.json,b6cbd62d-c5de-42f6-8ce9-868eff955f23,1610841600000,
,4094,6e981f19-e28a-4f37-bdf2-4ac5b37ed97d.binning_data.json,2400599,6000,,31,2021-01-19 03:06:41.369,com.sec.android.app.shealth,2021-01-18 03:00:03.489,,1.3684958,3285.2102,221.10179,4063,rCXGezyjDZ,com.sec.android.app.shealth,0,6e981f19-e28a-4f37-bdf2-4ac5b37ed97d.achievement.json,6e981f19-e28a-4f37-bdf2-4ac5b37ed97d,1610841600000,
,952,08cd2c69-089b-485c-8e35-e730c9e46605.binning_data.json,498461,6000,,105,2021-01-18 22:49:27.449,com.sec.android.app.shealth,2021-01-18 21:50:43.109,08cd2c69-089b-485c-8e35-e730c9e46605.source_info.json,1.5904828,792.7945,55.603977,847,VfS0qUERdZ,com.sec.android.app.shealth,0,08cd2c69-089b-485c-8e35-e730c9e46605.achievement.json,08cd2c69-089b-485c-8e35-e730c9e46605,1610928000000,
,952,b3b4b143-5653-4b07-a43e-3f59befdf918.binning_data.json,498461,6000,,105,2021-01-19 03:06:40.922,com.sec.android.app.shealth,2021-01-19 03:06:40.922,,1.5904828,792.7945,55.603977,847,rCXGezyjDZ,com.sec.android.app.shealth,0,b3b4b143-5653-4b07-a43e-3f59befdf918.achievement.json,b3b4b143-5653-4b07-a43e-3f59befdf918,1610928000000,
,809,821d4767-5818-4c0f-8f72-9894fb547e12.binning_data.json,428660,6000,,88,2021-01-21 21:27:14.245,com.sec.android.app.shealth,2021-01-19 21:22:17.939,821d4767-5818-4c0f-8f72-9894fb547e12.source_info.json,1.5727996,674.1965,48.19081,721,VfS0qUERdZ,com.sec.android.app.shealth,0,821d4767-5818-4c0f-8f72-9894fb547e12.achievement.json,821d4767-5818-4c0f-8f72-9894fb547e12,1611014400000,
,809,5eabe8bd-c570-4205-9b7f-0f7a970aa11b.binning_data.json,428660,6000,,88,2021-01-22 03:46:55.853,com.sec.android.app.shealth,2021-01-20 03:00:02.872,,1.5727996,674.1965,48.19081,721,rCXGezyjDZ,com.sec.android.app.shealth,0,5eabe8bd-c570-4205-9b7f-0f7a970aa11b.achievement.json,5eabe8bd-c570-4205-9b7f-0f7a970aa11b,1611014400000,
,1051,b4f78469-7c9e-4300-b4a3-7e8befcd5062.binning_data.json,519627,6000,,398,2021-01-21 23:15:34.147,com.sec.android.app.shealth,2021-01-21 21:27:13.601,b4f78469-7c9e-4300-b4a3-7e8befcd5062.source_info.json,1.8391898,955.6932,78.20383,653,VfS0qUERdZ,com.sec.android.app.shealth,0,b4f78469-7c9e-4300-b4a3-7e8befcd5062.achievement.json,b4f78469-7c9e-4300-b4a3-7e8befcd5062,1611187200000,
,1051,649cb6e6-c6b0-4de8-8e76-5498f50a3bd5.binning_data.json,519627,6000,,398,2021-01-22 03:46:55.999,com.sec.android.app.shealth,2021-01-22 03:46:55.999,,1.8391898,955.6932,78.20383,653,rCXGezyjDZ,com.sec.android.app.shealth,0,649cb6e6-c6b0-4de8-8e76-5498f50a3bd5.achievement.json,649cb6e6-c6b0-4de8-8e76-5498f50a3bd5,1611187200000,
