com.samsung.shealth.tracker.pedometer_step_count,6266001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,152,0,2024-06-11 22:32:00.000,,,2024-06-11 22:32:59.000,2024-06-11 22:32:59.000,152,2.7754066,167.19727,16.580032,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:32:59.000,f6f38d8b-ea55-639a-07a6-6b151ff67863,
,,154,0,2024-06-11 22:33:00.000,,,2024-06-11 22:33:59.000,2024-06-11 22:33:59.000,154,2.7903073,169.39624,16.81075,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:33:59.000,d0eb6881-2927-76e7-5b6c-14402f6a9485,
,,152,0,2024-06-11 22:34:00.000,,,2024-06-11 22:34:59.000,2024-06-11 22:34:59.000,152,2.7891026,167.19629,16.587654,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:34:59.000,a365e55e-9552-9ca9-7be2-38a8d8528863,
,,51,65,2024-06-11 22:35:00.000,,,2024-06-11 22:35:59.000,2024-06-11 22:35:59.000,116,2.4039772,108.09906,8.900604,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:35:59.000,d1d43519-27db-3db9-bab4-ef948d3a4fc5,
,,155,0,2024-06-11 22:36:00.000,,,2024-06-11 22:36:59.000,2024-06-11 22:36:59.000,155,2.8060887,170.49622,16.868637,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:36:59.000,7a439b1e-2360-f595-cf84-6531351deb16,
,,156,0,2024-06-11 22:37:00.000,,,2024-06-11 22:37:59.000,2024-06-11 22:37:59.000,156,2.8433015,171.59619,16.972664,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:37:59.000,03b5d1c4-8c97-3da2-67e9-195325b4eff0,
,,156,0,2024-06-11 22:38:00.000,,,2024-06-11 22:38:59.000,2024-06-11 22:38:59.000,156,2.9497833,171.59619,16.972237,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:38:59.000,2572e8ed-7965-f60b-e22c-f87c9f36b6a4,
,,154,0,2024-06-11 22:39:00.000,,,2024-06-11 22:39:59.000,2024-06-11 22:39:59.000,154,2.9304183,169.39624,16.764328,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:39:59.000,ecaf15f2-0600-164a-b7fc-7eeaf9f173f1,
,,153,0,2024-06-11 22:40:00.000,,,2024-06-11 22:40:59.000,2024-06-11 22:40:59.000,153,2.909765,168.29626,16.665985,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:40:59.000,55ff018b-a769-d9bb-2e9d-8263eedd8a31,
,,152,0,2024-06-11 22:41:00.000,,,2024-06-11 22:41:59.000,2024-06-11 22:41:59.000,152,2.8388171,167.203,16.574005,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:41:59.000,ad418114-baaf-df3d-74ed-d119036b66e6,
,,152,0,2024-06-11 22:42:00.000,,,2024-06-11 22:42:59.000,2024-06-11 22:42:59.000,152,2.8838365,167.21484,16.571777,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:42:59.000,37d1308a-ccb1-aba5-8680-f2d1545c0b25,
,,151,0,2024-06-11 22:43:00.000,,,2024-06-11 22:43:59.000,2024-06-11 22:43:59.000,151,2.8778496,166.11475,16.465256,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:43:59.000,9087ee53-ce94-d812-8a92-177b8e125d50,
,,152,0,2024-06-11 22:44:00.000,,,2024-06-11 22:44:59.000,2024-06-11 22:44:59.000,152,2.8706129,167.21484,16.577866,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:44:59.000,86090b63-0c84-d6d6-c497-8dd7feb68dd6,
,,151,0,2024-06-11 22:45:00.000,,,2024-06-11 22:45:59.000,2024-06-11 22:45:59.000,151,2.8150356,166.11475,16.471115,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:45:59.000,a8870ba0-c99d-a6b4-227e-55edfa6e8a37,
